id,timestamp,player1Id,player2Id,player1Name,player2Name,player1EloBefore,player2EloBefore,player1EloAfter,player2EloAfter,outcome,player1EloChange,player2EloChange
a4a28303-a1e7-4200-bd31-045d3de5557a,1765721500054,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,0184559c-9a92-48ba-b0ff-211f61c50e7e,Yoo,Alpha,1200,1200,1230,1170,p1,30,-30
f768d6a2-2a53-4170-a1ce-9138614e7a24,1765721699164,b1722729-fa7f-415b-8fbb-9daf81d2f969,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Hey,Yoo,1200,1230,1203,1227,draw,3,-3
52546372-2cdd-47ee-bc8b-3c8cbeed7e2b,1765722249111,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,b1722729-fa7f-415b-8fbb-9daf81d2f969,Yoo,Hey,1227,1203,1195,1235,p2,-32,32
4881a131-2d4c-4033-8572-583922c0faf2,1765722861208,b1722729-fa7f-415b-8fbb-9daf81d2f969,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Hey,Yoo,1235,1195,1202,1228,p2,-33,33
f962ffb7-9267-4f39-8f80-6b51e7343f30,1765723055709,b1722729-fa7f-415b-8fbb-9daf81d2f969,0184559c-9a92-48ba-b0ff-211f61c50e7e,Hey,Alpha,1202,1170,1169,1203,p2,-33,33
edb7e1d7-4aab-4c77-824d-14e105f0d2df,1765723064561,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,0184559c-9a92-48ba-b0ff-211f61c50e7e,Yoo,Alpha,1228,1203,1196,1235,p2,-32,32
31d0b85f-fd75-47e2-8c48-f7074b07741d,1765723097299,0184559c-9a92-48ba-b0ff-211f61c50e7e,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Alpha,Yoo,1235,1196,1262,1169,p1,27,-27
a0fd9b78-b3c2-4633-9168-69988030d9e8,1765723111587,b1722729-fa7f-415b-8fbb-9daf81d2f969,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Hey,Yoo,1169,1169,1199,1139,p1,30,-30
ad4529ab-7f64-4340-a6cc-6d44d6e152fd,1765723368038,0184559c-9a92-48ba-b0ff-211f61c50e7e,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Alpha,Yoo,1262,1139,1282,1119,p1,20,-20
dfab932f-e256-4238-8382-7f65a8d2ff89,1765723377902,b1722729-fa7f-415b-8fbb-9daf81d2f969,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Hey,Yoo,1199,1119,1222,1096,p1,23,-23
ea3f2f05-32fd-41ef-adb0-79043cb37e98,1765723456200,33848b60-1253-4ecd-b1de-69685ae7e14f,0184559c-9a92-48ba-b0ff-211f61c50e7e,Pierre,Alpha,1200,1282,1237,1245,p1,37,-37
c665e75b-d8b1-4fe7-a8cb-9502dd792b99,1765724286945,33848b60-1253-4ecd-b1de-69685ae7e14f,0184559c-9a92-48ba-b0ff-211f61c50e7e,Pierre,Alpha,1237,1245,1268,1214,p1,31,-31
441480f0-35ff-4a63-abce-9252439e6aa4,1765724312254,33848b60-1253-4ecd-b1de-69685ae7e14f,3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Pierre,Yoo,1268,1096,1254,1110,draw,-14,14
6671d1e7-01a0-4bab-810a-607144bd5098,1765724367877,33848b60-1253-4ecd-b1de-69685ae7e14f,b1722729-fa7f-415b-8fbb-9daf81d2f969,Pierre,Hey,1254,1222,1281,1195,p1,27,-27
